source_dataset,subject_id_candidate,audited_subject_id,identity,identity_audit_status,known_downstream_overlap,excluded,exclusion_reason,audit_method,audit_evidence,audit_notes,audit_scope
ACCAD,ACCAD::Male2Running_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male2Walking_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::MartialArtsWalksTurns_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::s001,s001,ACCAD::s001,excluded_unresolved_identity,false,true,Conservative exclusion: ACCAD person identity is not established by the available source label.,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Excluded rather than guessing during the time-bounded audit. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::s007,s007,ACCAD::s007,excluded_unresolved_identity,false,true,Conservative exclusion: ACCAD person identity is not established by the available source label.,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Excluded rather than guessing during the time-bounded audit. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::s008,s008,ACCAD::s008,excluded_unresolved_identity,false,true,Conservative exclusion: ACCAD person identity is not established by the available source label.,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Excluded rather than guessing during the time-bounded audit. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::s009,s009,ACCAD::s009,excluded_unresolved_identity,false,true,Conservative exclusion: ACCAD person identity is not established by the available source label.,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Excluded rather than guessing during the time-bounded audit. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::s011,s011,ACCAD::s011,excluded_unresolved_identity,false,true,Conservative exclusion: ACCAD person identity is not established by the available source label.,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Excluded rather than guessing during the time-bounded audit. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub001,rub001,BioMotionLab_NTroje::rub001,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub002,rub002,BioMotionLab_NTroje::rub002,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub003,rub003,BioMotionLab_NTroje::rub003,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub004,rub004,BioMotionLab_NTroje::rub004,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub005,rub005,BioMotionLab_NTroje::rub005,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub006,rub006,BioMotionLab_NTroje::rub006,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub007,rub007,BioMotionLab_NTroje::rub007,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub008,rub008,BioMotionLab_NTroje::rub008,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub009,rub009,BioMotionLab_NTroje::rub009,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub010,rub010,BioMotionLab_NTroje::rub010,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub011,rub011,BioMotionLab_NTroje::rub011,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub012,rub012,BioMotionLab_NTroje::rub012,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub014,rub014,BioMotionLab_NTroje::rub014,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub015,rub015,BioMotionLab_NTroje::rub015,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub016,rub016,BioMotionLab_NTroje::rub016,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub017,rub017,BioMotionLab_NTroje::rub017,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub018,rub018,BioMotionLab_NTroje::rub018,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub020,rub020,BioMotionLab_NTroje::rub020,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub021,rub021,BioMotionLab_NTroje::rub021,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub022,rub022,BioMotionLab_NTroje::rub022,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub023,rub023,BioMotionLab_NTroje::rub023,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub024,rub024,BioMotionLab_NTroje::rub024,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub025,rub025,BioMotionLab_NTroje::rub025,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub026,rub026,BioMotionLab_NTroje::rub026,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub027,rub027,BioMotionLab_NTroje::rub027,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub028,rub028,BioMotionLab_NTroje::rub028,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub029,rub029,BioMotionLab_NTroje::rub029,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub030,rub030,BioMotionLab_NTroje::rub030,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub031,rub031,BioMotionLab_NTroje::rub031,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub032,rub032,BioMotionLab_NTroje::rub032,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub033,rub033,BioMotionLab_NTroje::rub033,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub034,rub034,BioMotionLab_NTroje::rub034,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub035,rub035,BioMotionLab_NTroje::rub035,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub036,rub036,BioMotionLab_NTroje::rub036,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub037,rub037,BioMotionLab_NTroje::rub037,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub038,rub038,BioMotionLab_NTroje::rub038,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub039,rub039,BioMotionLab_NTroje::rub039,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub040,rub040,BioMotionLab_NTroje::rub040,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub041,rub041,BioMotionLab_NTroje::rub041,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub042,rub042,BioMotionLab_NTroje::rub042,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub043,rub043,BioMotionLab_NTroje::rub043,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub044,rub044,BioMotionLab_NTroje::rub044,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub045,rub045,BioMotionLab_NTroje::rub045,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub046,rub046,BioMotionLab_NTroje::rub046,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub047,rub047,BioMotionLab_NTroje::rub047,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub048,rub048,BioMotionLab_NTroje::rub048,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub049,rub049,BioMotionLab_NTroje::rub049,approved,false,false,,source-scoped folder ID reconciliation,https://files.is.tue.mpg.de/black/papers/amass_iccv_poster.pdf,"The number of source-scoped candidate IDs matches the AMASS-published subject count for this source. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
