"Priority 
(H/M/L/NA )",Feature:,Neurological Reason:,What is considered significant?,Source:
M,walking_speed_ms,This shuffling gait and bradykinesia in general could will also likely cause a decrease in walking speed.,"This teaching module includes no spefic metrics.
The walk would likely be slower, around 0.4 to 0.8.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
M,cadence_steps_min,"Because patients will be shuffling, the steps/min will be greatly increased in comparison with a normal person.","This teaching module includes no specific metrics.
The cadence would likely be higher, so around 125 to 160.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
L,stance_percentage,"Because shuffling involves keeping both feet on the groud, patients with PD will likely have a higher than average stance percentage.","This teaching module includes no specific metrics.
The stance percentage would be higher than normal, so likely anything above 70%.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
L,swing_percentage,"Because shuffling involves keeping both feet on the groud, patients with PD will likely have a lower than average swing percentage.","This teaching module includes no specific metrics.
The swing percentage would be lower than normal, so likely anything below 30%.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
M,double_support_percentage,"Because shuffling involves keeping both feet on the groud, patients with PD will likely have a higher than average double support ratio.","This teaching module includes no specific metrics.
The double support percentage would be higher than normal, so likely above 30%.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
L,stance_swing_ratio,"Because shuffling involves keeping both feet on the groud, patients with PD will likely have a higher than average stance/swing ratio.","This teaching module includes no specific metrics.
This paper on the golden ratio in normal gait says that a typical stance/swing ratio in PD patients is 2.1, so 2.0 or higher is enough to be suspicious.","https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
https://pmc.ncbi.nlm.nih.gov/articles/PMC3687768/"
H,stride_length_si,"Parkinson's often begins affecting one side first, which would likely lead to a stride length symetry index of over 16% (or under -16%)",A result with an aboslute value greater than 16%,https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,stance_time_si,"Parkinson's often begins affecting one side first, which would likely lead to a stance time symetry index of over 16% (or under -16%)",A result with an aboslute value greater than 16%,https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,swing_time_si,"Parkinson's often begins affecting one side first, which would likely lead to a swing time symetry index of over 16% (or under -16%)",A result with an aboslute value greater than 16%,https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,hip_angle_si,"Parkinson's often begins affecting one side first, which would likely lead to a hip angle symetry index of over 16% (or under -16%)",A result with an aboslute value greater than 16%,https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,knee_angle_si,"Parkinson's often begins affecting one side first, which would likely lead to a knee angle symetry index of over 16% (or under -16%)",A result with an aboslute value greater than 16%,https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,ankle_angle_si,"Parkinson's often begins affecting one side first, which would likely lead to an ankle angle symetry index of over 16% (or under -16%)",A result with an aboslute value greater than 16%,https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
L,acceleration_std,"One common feature of the parkinsonian gait is festination - meaning small steps get progressivey quicker until a person is ""running,"" almost ""chasing"" their center of gravity","It's not clear in the document exactly how this is tracked (percentage, speed, ratio, etc.).
If it's possible, use this feature to strack the steady increase in accelearation.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
M,jerk_mean,"This reflects motor control instability, which could be helpful to track because symptoms of PD can include hesitation, freezing, and uneven movement execution.","It's not defined what numerical value indicates this, but general high jerk could be a symptom of pd.",https://www.ninds.nih.gov/health-information/disorders/parkinsons-disease
M,jerk_std,"This reflects motor control instability, which could be helpful to track because symptoms of PD can include hesitation, freezing, and uneven movement execution.","It's not defined what numerical value indicates this, but general high jerk could be a symptom of pd.",https://www.ninds.nih.gov/health-information/disorders/parkinsons-disease
H,stride_time_cv,"PD often affects one side of the body more than another, which would lead to a large variation in stride time.","This paper does not talk about stride time specifically, just general weight-bearing asymetry, but I beleive anything above 0.06 would be significant.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
H,step_length_cv,"PD often affects one side of the body more than another, which would lead to a large variation in step length.","This paper does not talk about step length specifically, just general weight-bearing asymetry, but I beleive anything above 0.06 would be significant (because in the document it said similar order of magnitude).",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
H,stride_velocity_cv,"PD often affects one side of the body more than another, and aditionally has a symptom of festination, both of which would lead to a large variation in stride velocity.","These sources don't give a specific value, but I'd say anything that is considered variable, so over 0.08.","https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm"
L,trunk_lean_angle,"In one study (of 1631 PD patients), 8.8% had stopped posture (leading to festination) or Pisa syndrome (leaning sideways). Not a huge number, but enough to catch almost 1 in 10 cases.","The other study I found said that trunk flexion in patients ranged from 12 degrees to 22 degrees, so around that range.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6382389/

https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2021.716990/full"
H,com_movement_mean,"Instability is another hallmark feature of PD, so heightened body sway could be a useful thing to track.","It was unclear exactly how this measurement was derived, but in general if it's higher than average",https://www.parkinson.org/understanding-parkinsons/movement-symptoms/postural-instability
H,com_movement_std,"Instability is another hallmark feature of PD, so heightened body sway could be a useful thing to track.","It was unclear exactly how this measurement was derived, but in general if it's higher than average.",https://www.parkinson.org/understanding-parkinsons/movement-symptoms/postural-instability
H,com_stability_index,"Instability is another hallmark feature of PD, so a lower score on the com stability index could be a useful thing to track.","It was unclear exactly how this measurement was derived, but in general if it's lower than average.",https://www.parkinson.org/understanding-parkinsons/movement-symptoms/postural-instability
H,postural_sway_area,"Instability is another hallmark feature of PD, so heightened postural sway could be a useful thing to track.","It was unclear exactly how this measurement was derived, but in general if it's higher than average.",https://www.parkinson.org/understanding-parkinsons/movement-symptoms/postural-instability
L,ankle_distance_asymmetry,"PD begins affecting one side first typically, which could potentially lead to some asymetry between the distance that differnent ankles travel.","A larger value would indicate asymetry here (again, unclear exactly how this measurement gets derived)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
L,shoulder_symmetry_index,"~10-15% of patients with PD experience upper limb dystonia, which I think the symetry index could help track.","This source doesn't clarify, but I would assume a higher percentage would be a potential PD marker, likely ~10% or greater.",https://www.sciencedirect.com/science/article/pii/S096999611930107X
M,elbow_symmetry_index,"~10-15% of patients with PD experience upper limb dystonia, which I think the symetry index could help track.","This source doesn't clarify, but I would assume a higher percentage would be a potential PD marker, likely ~10% or greater.",https://www.sciencedirect.com/science/article/pii/S096999611930107X
L,wrist_symmetry_index,"~10-15% of patients with PD experience upper limb dystonia, which I think the symetry index could help track.","This source doesn't clarify, but I would assume a higher percentage would be a potential PD marker, likely ~10% or greater.",https://www.sciencedirect.com/science/article/pii/S096999611930107X
H,hip_symmetry_index,"PD begins affecting one side first typically, which would lead to a higher than normal score on this index.","This source doesn't clarify, but I would assume a higher percentage would be a potential PD marker, likely ~10% or greater.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
H,knee_symmetry_index,"PD begins affecting one side first typically, which would lead to a higher than normal score on this index.","This source doesn't clarify, but I would assume a higher percentage would be a potential PD marker, likely ~10% or greater.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
H,ankle_symmetry_index,"PD begins affecting one side first typically, which would lead to a higher than normal score on this index.","This source doesn't clarify, but I would assume a higher percentage would be a potential PD marker, likely ~10% or greater.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
L,cycle_count,"Because of the shuffling gait, if detection is good then this could would likely be abnormally high.","If a normal clip contains 3 to 12 cycles, then over 12 most likely. I think this would need to be calibrated to have a universtal value scale in proportion to clip length before I could give a more universal value, though.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
H,cycle_duration_asymmetry,"PD begins affecting one side first typically, which would likely lead to higher asymetry in cycle duration.","A higher value would be likely here, perhaps 0.5 or above would indicate significant asymmetry.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,double_support_duration_mean,"Because a symptom of PD is a shuffling gait, feet would spend more time on the ground. It would likely lead to a much higher value in double support duration mean than seen in a healthy individual.","A higher value, likely of 0.30 s or above, could indicate PD in a patient.",https://www.nature.com/articles/s41598-020-80768-2
M,stance_duration_mean,"Because a symptom of PD is a shuffling gait, feet would spend more time on the ground. It would likely lead to a much higher value in stance duration mean than seen in a healthy individual.","A higher value, likely of 0.90 s or above, could indicate PD in a patient.",https://www.nature.com/articles/s41598-020-80768-2
M,swing_duration_mean,"Reduced swing duration is a hallmark of PD (and specifically bradykinesia), and so PD patients would have a reduced mean swing time compared to healthy adults.","A higher value, likely of 0.60 s or above, could indicate PD in a patient.",https://www.nature.com/articles/s41598-020-80768-2
H,phase_asymmetry,"Like I said earlier, because shuffling involves keeping both feet on the groud, patients with PD will likely have a higher than average stance/swing ratio, leading to higher phase asymetry.","There would be a higher value here too, perhaps similar to the typical 2.1 stance/swing ratio.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
H,overall_symmetry_index,"Again, PD often affects one side first, which would likely lead to a higher overall symetry index score.","The article doesn't outline a specific value, but I believe if it's larger it could be a marker for PD.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,positional_symmetry_score,"Again, PD often affects one side first, which would likely lead to a higher positional symetry score.","The article doesn't outline a specific value, but I believe if it's larger it could be a marker for PD.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
H,movement_symmetry_score,"Again, PD often affects one side first, which would likely lead to a higher movement symetry score.","The article doesn't outline a specific value, but I believe if it's larger it could be a marker for PD.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
H,temporal_symmetry_score,"Again, PD often affects one side first, which would likely lead to a higher temporal symetry score.","The article doesn't outline a specific value, but I believe if it's larger it could be a marker for PD.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
,,,,
,"All of the following features I've included because I assume they're useful for calculations and standardization across different videos, but they probably won't contribute directly to a diagnosis. (I assume that Alex and Theodore can choose how to use these)",,,
,sequence_length,,,
,duration_seconds,,,
,dominant_frequency,,,
,fps,,,
,walking_speed_pixels_per_sec,,,
,estimated_stride_length_pixels,,,
,,,,
,,,,
,NOT-RELEVANT FEATURES,,,
,left_hip_mean,"Although both trunk lean and hip asymetry are important features to track for PD, left hip mean alone does not tell us the whole story, and there are other features that also track hip movement that would paint a clearer picture.",,
,right_hip_mean,"Although both trunk lean and hip asymetry are important features to track for PD, right hip mean alone does not tell us the whole story, and there are other features that also track hip movement that would paint a clearer picture.",,
,left_knee_mean,"Again, although knee asymetry can be a telling symptom, the mean angle of one knee doesn't tell the whole story, and so it would probably not help that much with diagnosis.",,
,right_knee_mean,"Again, although knee asymetry can be a telling symptom, the mean angle of one knee doesn't tell the whole story, and so it would probably not help that much with diagnosis.",,
,left_ankle_mean,"Again, although ankle asymetry can be a telling symptom, the mean angle of one ankle doesn't tell the whole story, and so it would probably not help that much with diagnosis.",,
,right_ankle_mean,"Again, although ankle asymetry can be a telling symptom, the mean angle of one ankle doesn't tell the whole story, and so it would probably not help that much with diagnosis.",,
,step_width_m,"Step length is very telling as a symptom of PD, but the step width of a healthy person and a person with Parkinson's is roughly the same, so this feature wouldn't help much.",,
,velocity_mean,"A symptom of PD is a slow shuffling gait that then speeds up, but because this is taking the mean, it might be hard to differentiate someone with PD from a healthy person based on just the average speed.",,
,velocity_std,"There is some variability in speed that comes with PD when walking, but it's a very specific type of variability that this feature would not be able to distinguish from other types/causes of variability.",,
,velocity_max,"This tracks one single peak moment of velocity, which would likely not be useful in diagnosing PD as the gait is typically slow shuffling with a more gradual change in speed.",,
,velocity_min,"This tracks the one single lowest moment of velocity, which would likely not be useful in diagnosing PD as the gait is typically slow shuffling with a more gradual change in speed.",,
,acceleration_mean,Mean acceleration is too averaged out to be able to accurately capture common PD symptoms.,,
,acceleration_max,"Max acceleration is just one moment, and because the PD gait mostly involves gradual changes, this would likely not be a useful tool for diagnosis.",,
,pelvic_tilt_mean,"Although it sounds like it would be similar to trunk lean, pelvic tilt tracks a different kind of change in posture that would not be present in people with PD any more than it would be present within healthy individuals.",,
,left_hip_std,"The variability of joint movement can be reduced with PD, but can also be reduced with just aging in perfectly healthy individuals, so it would likely not be the best feature to use to diagnose PD.",,
,right_hip_std,"The variability of joint movement can be reduced with PD, but can also be reduced with just aging in perfectly healthy individuals, so it would likely not be the best feature to use to diagnose PD.",,
,left_knee_std,"The variability of joint movement can be reduced with PD, but can also be reduced with just aging in perfectly healthy individuals, so it would likely not be the best feature to use to diagnose PD.",,
,right_knee_std,"The variability of joint movement can be reduced with PD, but can also be reduced with just aging in perfectly healthy individuals, so it would likely not be the best feature to use to diagnose PD.",,
,left_ankle_std,"The variability of joint movement can be reduced with PD, but can also be reduced with just aging in perfectly healthy individuals, so it would likely not be the best feature to use to diagnose PD.",,
,right_ankle_std,"The variability of joint movement can be reduced with PD, but can also be reduced with just aging in perfectly healthy individuals, so it would likely not be the best feature to use to diagnose PD.",,
,step_width_std,"Step length is very telling as a symptom of PD, but the step width of a healthy person and a person with Parkinson's is roughly the same, so tracking it and its variability wouldn't help much.",,
,step_width_range,"Step length is very telling as a symptom of PD, but the step width of a healthy person and a person with Parkinson's is roughly the same, so tracking it and its variability wouldn't help much.",,
,left_ankle_total_distance,"This depends more on how much a person is walking, not on their actual gait. So, a healthy person walking slowly couldn't be distinguished from a person shuffling slowly because of PD.",,
,right_ankle_total_distance,"This depends more on how much a person is walking, not on their actual gait. So, a healthy person walking slowly couldn't be distinguished from a person shuffling slowly because of PD.",,
,left_cycle_duration_mean,"The duration of one side alone doesn't tell us much about PD, it's when left and right are combined into the cycle duration asymetry feature that they'd be useful.",,
,right_cycle_duration_mean,"The duration of one side alone doesn't tell us much about PD, it's when left and right are combined into the cycle duration asymetry feature that they'd be useful.",,
